path,size_bytes,sha256,repository_status,notes
README.md,1569,5c3976d6a2074817526fb48ce1a712ff1270c6b9204ce8456d0c1ac6c38f8a69,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
chapters/01_introduction.tex,8419,84ac4df3376866c5a691de2994ed5a68c4f507680605832258d00751fbab246f,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
chapters/02_background.tex,11061,891b47c71aa1d22390a9f68eb81f3b36fd3efada691ace1838d63f28e7fe785a,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
chapters/03_problem_rqs.tex,6701,ff55580bf2d0ca824c3c366c063192e69018c022d8d5d5be970d70b3e4bd37ba,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
chapters/04_study_plan.tex,15046,27acc007e7a83e30d909830e2a32a1d9b930373c5645db15c6305c3e6345d047,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
chapters/05_contributions.tex,4551,2fc903f8c8590c982676a47f073fa5e41c7576449747adbf9ad76b057e79b6b9,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
chapters/06_timeline.tex,3902,3a2bdf0d63da097149b63e04dfe2651dfa94893a8b12b9bd7957f4d59b724b36,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
chapters/07_appendix_prototype.tex,7841,75b2e15e67359b3612e0e8d682ed540a314705e1050267c8da39d472ba5d8e9a,checksum_recorded_overleaf_source_not_stored,source content remains under Overleaf authority; hash retained for baseline comparison
figures/architecture_diagram.png,203128,c16ffa8cae75ac30676337f67f5fc59a37b1e72ed34c451061527e7dde7b1c93,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/fig_context_conditions.png,125581,26b5bf3caba840caccbf6a280788502da23d1e11012c322749bada3a4997091e,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
figures/fig_ladder.png,65755,ae497e666bcb1bed8199cdbf8eb4393631ff13d7132caa51c881a1584ee12ab5,checksum_recorded_overleaf_binary_not_stored,binary figure remains under Overleaf authority
